SIREN,Présent dans l'annuaire de la facturation électronique,Plateforme agréée rattachée,Adresse de facturation,Adresse de facturation active
344206859,Oui,Non,344206859,Non
381788298,Oui,Non,381788298,Non
402236715,Oui,Non,402236715,Non
320566508,Oui,Non,320566508,Non
390247864,Oui,Non,390247864,Non
388363210,Oui,Non,388363210,Non
332137025,Oui,Non,332137025,Non
775414311,Oui,Non,775414311,Non
438075681,Oui,Non,438075681,Non
327058384,Oui,Non,327058384,Non
380908202,Oui,Non,380908202,Non
775210800,Oui,Oui,775210800,Oui
434615696,Oui,Non,434615696,Non
330581828,Oui,Non,330581828,Non
333050086,Oui,Non,333050086,Non
781273784,Oui,Non,781273784,Non
326545282,Oui,Non,326545282,Non
317384741,Oui,Non,317384741,Non
342574480,Oui,Non,342574480,Non
337606784,Oui,Non,337606784,Non
331142539,Oui,Non,331142539,Non
379799406,Oui,Non,379799406,Non
429886765,Oui,Non,429886765,Non
314187097,Oui,Oui,314187097,Non
428239198,Oui,Non,428239198,Non
401023981,Oui,Non,401023981,Non
332505619,Oui,Non,332505619,Non
781376074,Oui,Non,781376074,Non
781293147,Oui,Non,781293147,Non
378972434,Oui,Non,378972434,Non
498113265,Oui,Non,498113265,Non
339628430,Oui,Non,339628430,Non
395176589,Oui,Non,395176589,Non
424388866,Oui,Non,424388866,Non
390681203,Oui,Non,390681203,Non
779377357,Oui,Non,779377357,Non
332943943,Oui,Non,332943943,Non
340331974,Oui,Non,340331974,Non
320130461,Oui,Non,320130461,Non
331616532,Oui,Non,331616532,Non
444677751,Non,Non,,
324334671,Oui,Non,324334671,Non
951742477,Oui,Non,951742477,Non
306740408,Oui,Non,306740408,Non
489498329,Oui,Non,489498329,Non
385161146,Oui,Non,385161146,Non
942589029,Oui,Non,942589029,Non
421304221,Non,Non,,
302726633,Oui,Non,302726633,Non
951709799,Oui,Non,951709799,Non
409496072,Oui,Non,409496072,Non
502754948,Oui,Non,502754948,Non
379998446,Oui,Non,379998446,Non
803488832,Oui,Non,803488832,Non
431701051,Oui,Non,431701051,Non
388620486,Oui,Non,388620486,Non
892140229,Oui,Non,892140229,Non
344567532,Oui,Non,344567532,Non
776061897,Oui,Non,776061897,Non
830502092,Oui,Non,830502092,Non
392176756,Oui,Non,392176756,Non
329666093,Oui,Non,329666093,Non
442982054,Oui,Non,442982054,Non
321373086,Oui,Non,321373086,Non
342838901,Oui,Non,342838901,Non
338321011,Non,Non,,
326047107,Oui,Non,326047107,Non
389361650,Oui,Oui,389361650,Non
327511739,Oui,Non,327511739,Non
325021756,Oui,Non,325021756,Non
335093464,Oui,Non,335093464,Non
353711781,Oui,Non,353711781,Non
378710222,Oui,Non,378710222,Non
418506556,Oui,Non,418506556,Non
431508134,Oui,Non,431508134,Non
329628234,Oui,Non,329628234,Non
401663083,Oui,Non,401663083,Non
383301017,Oui,Non,383301017,Non
440795896,Oui,Non,440795896,Non
443979877,Oui,Non,443979877,Non
499714566,Oui,Non,499714566,Non
390755817,Oui,Non,390755817,Non
378210926,Oui,Non,378210926,Non
379997943,Oui,Non,379997943,Non
438893885,Oui,Non,438893885,Non
502832728,Oui,Non,502832728,Non
328069653,Oui,Non,328069653,Non
302760525,Oui,Non,302760525,Non
351685433,Oui,Non,351685433,Non
