SIREN;NOM;CPOSTAL;VIL;UN_GESDOSNO;DOSSIER;FEDERATION;AGC
339046013; DU BOUTOIS                                                                     ;10130     ;MONTFEY                                           ;11410               ;201004;201762;
339633703; LES CLOTS                                                                      ;10220     ;ASSENCIERES                                       ;11321               ;201006;201762;
418710273; DU RU DE CHAMEUSE                                                              ;10210     ;VANLAY                                            ;100283              ;201007;201762;
780312377; FAUX VILLECERF                                                                 ;10290     ;FAUX-VILLECERF                                    ;11315               ;201008;201762;
302754700; DE LA BARBUISE                                                                 ;10150     ;AUBETERRE                                         ;100177              ;201009;201762;
321373086; DE L'ARCOT                                                                     ;10240     ;VAUCOGNE                                          ;11286               ;201010;201762;
381164706; DES 3 RIVIERES                                                                 ;52250     ;VERSEILLES LE HAUT                                ;520277              ;201011;201762;
302760004; MAILLY LE CAMP                                                                 ;10700     ;MAILLY LE CAMP                                    ;100106              ;201012;201762;
403419161; LES BRULIS                                                                     ;10130     ;EAUX PUISEAUX                                     ;100278              ;201014;201762;
378132070; LE BUZIO                                                                       ;10190     ;DIERREY-SAINT-PIERRE                              ;100244              ;201016;201762;
302756788; CHARMONT SOUS BARBUISE                                                         ;10150     ;CHARMONT-SOUS-BARBUISE                            ;11412               ;201017;201762;
398204875; DES SOURCES DU LONGSOLS                                                        ;10220     ;ONJON                                             ;100275              ;201020;201762;
385161146;IRRIVOUE                                                                        ;10150     ;VOUE                                              ;11276               ;201021;201762;
340584937; GRAND-CERNEY                                                                   ;10220     ;ROUILLY-SACEY                                     ;100225              ;201022;201762;
423630516; VALLEE DU LANDION                                                              ;10210     ;CUSSANGY                                          ;100184              ;201023;201762;
302761796; PARS LES CHAVANGES                                                             ;10330     ;PARS-LES-CHAVANGES                                ;100122              ;201024;201762;
402539019;SAINT JACQUES                                                                   ;10100     ;LA FOSSE CORDUAN                                  ;100276              ;201025;201762;
302756846; CHARNY LE BACHOT                                                               ;10380     ;CHARNY-LE-BACHOT                                  ;100085              ;201026;201762;
432369882; IRRIGATION                                                                     ;10150     ;CHARMONT S/S BARBUISE                             ;11398               ;201027;201762;
343288023;DES PERRIERES                                                                   ;10330     ;CHASSERICOURT                                     ;11395               ;201028;201762;
302760962; MONTSUZAIN                                                                     ;10150     ;MONTSUZAIN                                        ;100112              ;201029;201762;
302756887; CHATRES-MESGRIGNY                                                              ;10510     ;CHATRES                                           ;100086              ;201031;201762;
324332725; LE FROIDEAU                                                                    ;10500     ;MORVILLIERS                                       ;100198              ;201032;201762;
316969476; DU MELDA                                                                       ;10600     ;MERGEY                                            ;11384               ;201034;201762;
384759924; 2000                                                                           ;54122     ;FLIN                                              ;542222              ;201035;201762;
300463684; LE RIOT                                                                        ;10100     ;OSSEY-LES-TROIS-MAISONS                           ;100171              ;201036;201762;
340984426; LES TOURELLES                                                                  ;10260     ;RUMILLY-LES-VAUDES                                ;100226              ;201037;201762;
321536567; ROMAINCOURT                                                                    ;10230     ;MAILLY-LE-CAMP                                    ;100166              ;201038;201762;
302755095; LE PUJUS                                                                       ;10330     ;BALIGNICOURT                                      ;100168              ;201040;201762;
302760913; MONTREUIL SUR BARSE                                                            ;10270     ;MONTREUIL SUR BARSE                               ;100111              ;201041;201762;
321655904; LA COUTURE                                                                     ;10400     ;LOUPTIERE-THENARD (LA)                            ;100195              ;201042;201762;
302344809; JASSEINES                                                                      ;10330     ;JASSEINES                                         ;11320               ;201045;201762;
379165509; DE LA VALLEE DE LA SEINE                                                       ;10600     ;PAYNS                                             ;100180              ;201047;201762;
350086781; FDCUMA DES VOSGES                                                              ;88026     ;EPINAL Cédex                                      ;880888              ;201048;201048;
780310397; DIENVILLE - LA ROTHIERE                                                        ;10500     ;DIENVILLE                                         ;100089              ;201049;201762;
334271335; du BANY                                                                        ;88300     ;HAGNEVILLE-ET-RONCOURT                            ;880243              ;201050;201048;
377696539; DE L'ARCE                                                                      ;10110     ;VITRY-LE-CROISE                                   ;11316               ;201051;201762;
302767496; VAUDES                                                                         ;10800     ;ST THIBAULT                                       ;100143              ;201052;201762;
351884663; SAINT LAURENT                                                                  ;10220     ;MESNIL-SELLIERES                                  ;100237              ;201053;201762;
340493352; DU MOUZON                                                                      ;88300     ;POMPIERRE                                         ;880250              ;201054;201048;
302767561; VENDEUVRE SUR BARSE                                                            ;10140     ;VENDEUVRE SUR BARSE                               ;11400               ;201055;201762;
494101827; VERT FUTUR 88                                                                  ;88120     ;SYNDICAT (LE)                                     ;880293              ;201056;201048;
347628935; des SAPINS                                                                     ;88000     ;VAUDEVILLE                                        ;880260              ;201057;201048;
349499046; de CHAMAGNE                                                                    ;88130     ;CHAMAGNE                                          ;880261              ;201058;201048;
349738385; DE LA HOUSSIERE                                                                ;88430     ;HOUSSIERE (LA)                                    ;880262              ;201059;201048;
352407670; de la DEMOISELLE                                                               ;88340     ;LE VAL D AJOL                                     ;880266              ;201060;201048;
377817630; des ARCHES                                                                     ;88550     ;POUXEUX                                           ;880268              ;201061;201048;
380257139; DU SAINT FLORENT                                                               ;88700     ;HOUSSERAS                                         ;880269              ;201062;201048;
379757776; DU RAVET                                                                       ;10240     ;BRILLECOURT                                       ;100251              ;201063;201762;
389576257; DE LA BROSSE                                                                   ;10160     ;RIGNY LE FERRON                                   ;100265              ;201064;201762;
381697143; de la CHAPELLE                                                                 ;88430     ;VIENVILLE                                         ;880271              ;201065;201048;
390737070; DE CHARMOLLE                                                                   ;10400     ;AVANT-LES-MARCILLY                                ;11411               ;201066;201762;
382206589; DE CHATEL                                                                      ;88330     ;ZINCOURT                                          ;880274              ;201067;201048;
383735321; du HAUT du LAC                                                                 ;88260     ;RELANGES                                          ;880275              ;201068;201048;
